id;nome_alimento;preparo;kcal;proteina;lipidios;carboidratos;fibra
139;Açafrão;Cru(a);310;11.43;5.85;65.37;3.9
140;Batatainglesa orgânica;Frito(a);263.5;2.87;13.64;33.6;3.44
141;Creme de arroz;Não se aplica;148.32;3.8;3.3;26.07;0.3
142;Arrozina;Não se aplica;148.32;3.8;3.3;26.07;0.3
143;Mucilon;Não se aplica;78.24;2.42;3.06;10.46;0.17
144;Mingau de arroz;Não se aplica;148.32;3.8;3.3;26.07;0.3
145;Croquinhos de arroz;Não se aplica;387;12.94;4.54;77.9;14.5
146;Farinha de aveia;Não se aplica;384;16;6.3;67;9.8
147;Aveia em flocos;Não se aplica;384;16;6.3;67;9.8
148;Fubá de milho;Não se aplica;60.58;1.44;0.2;13;0.26
149;Farinha de milho;Não se aplica;351;7.2;1.5;79.1;5.5
150;Puba de milho;Não se aplica;311;4.8;12.4;45.1;0.7
151;Puba de fubá;Não se aplica;311;4.8;12.4;45.1;0.7
152;Milho moído;Cozido(a);160.14;3.32;7.18;25.11;4.25
153;Mingau de milho;Não se aplica;78.24;2.42;3.06;10.46;0.17
154;Amido de milho;Não se aplica;78.24;2.42;3.06;10.46;0.17
155;Amido de arroz;Não se aplica;148.32;3.8;3.3;26.07;0.3
156;Cremogema;Não se aplica;78.24;2.42;3.06;10.46;0.17
157;Vitamilho;Não se aplica;128.3;4.35;0.22;26.42;1.71
158;Creme de milho;Não se aplica;78.24;2.42;3.06;10.46;0.17
159;Sucrilhos de milho;Não se aplica;377;4.7;0.7;88.8;2.1
160;Cereal matinal de milho em flocos;Não se aplica;377;4.7;0.7;88.8;2.1
161;Germe de trigo;Não se aplica;360;23.15;9.72;51.8;13.2
162;Fibra de trigo;Não se aplica;216;15.55;4.25;64.51;42.8
163;Fibra de cereal trigo;Não se aplica;216;15.55;4.25;64.51;42.8
164;Farinha de mandioca;Não se aplica;361;1.6;0.3;87.9;6.4
165;Farinha de copioba;Não se aplica;361;1.6;0.3;87.9;6.4
166;Farinha d'água;Não se aplica;361;1.6;0.3;87.9;6.4
167;Cruera;Não se aplica;361;1.6;0.3;87.9;6.4
168;Goma de mandioca;Não se aplica;336;2;0;82;0
169;Sagu de mandioca;Não se aplica;116.99;4.33;4.1;15.51;0.03
170;Farinha de tapioca;Não se aplica;331;0.5;0.3;81.1;0.6
171;Farinha beiju;Não se aplica;331;0.5;0.3;81.1;0.6
172;Sagu de tapioca;Não se aplica;116.99;4.33;4.1;15.51;0.03
173;Tapioca de goma;Não se aplica;336;2;0;82;0
174;Farinha láctea;Não se aplica;396.67;12.67;6.33;73.33;2.67
175;Neston;Não se aplica;345.8;12.92;0;70.8;6.25
176;Flocos de cereais;Não se aplica;365;7.2;1;83.8;4.1
177;Vitaflocos;Não se aplica;78.24;2.42;3.06;10.46;0.17
178;Mini pizza semipronta;Cru(a);252.49;10.17;8.22;33.73;1.75
179;Mini pizza semipronta;Cozido(a);252.49;10.17;8.22;33.73;1.75
180;Mini pizza semipronta;Assado(a);252.49;10.17;8.22;33.73;1.75
181;Mini pizza semipronta;Frito(a);252.49;10.17;8.22;33.73;1.75
182;Mini pizza semipronta;Não se aplica;252.49;10.17;8.22;33.73;1.75
183;Fibra de soja;Não se aplica;70;12;2;74;73
184;Minipastel;Não se aplica;319.81;10.38;15.68;33.51;1.45
185;Macarrão ;Cru(a);158;5.8;0.93;30.86;1.8
186;Macarrão ;Cozido(a);158;5.8;0.93;30.86;1.8
187;Macarrão ;Grelhado(a)/brasa/churrasco;158;5.8;0.93;30.86;1.8
188;Macarrão ;Assado(a);158;5.8;0.93;30.86;1.8
189;Macarrão ;Frito(a);186.68;5.8;4.17;30.86;1.8
190;Macarrão ;Empanado(a)/à milanesa;186.68;5.8;4.17;30.86;1.8
191;Macarrão ;Refogado(a);186.68;5.8;4.17;30.86;1.8
192;Macarrão ;Molho vermelho;103.73;3.5;1.92;18.27;1.46
193;Macarrão ;Molho branco;158.99;5.42;3.23;26.54;1.48
194;Macarrão ;Ao alho e óleo;186.68;5.8;4.17;30.86;1.8
195;Macarrão ;Com manteiga/óleo;182.22;5.83;3.67;30.86;1.8
196;Macarrão ;Ao vinagrete;158;5.8;0.93;30.86;1.8
