id;nome_alimento;preparo;kcal;proteina;lipidios;carboidratos;fibra
791;Carne marica bovina;Refogado(a);221.66;36.12;7.56;0;0
792;Vazio (carne bovina);Cozido(a);204;30.67;9;0;0
793;Vazio (carne bovina);Grelhado(a)/brasa/churrasco;204;30.67;9;0;0
794;Vazio (carne bovina);Frito(a);226.66;30.67;11.56;0;0
795;Peito bovino;Cozido(a);204;30.67;9;0;0
796;Peito bovino;Frito(a);226.66;30.67;11.56;0;0
797;Fraldinha (capa de filé);Cozido(a);199;36.12;5;0;0
798;Fraldinha (capa de filé);Grelhado(a)/brasa/churrasco;199;36.12;5;0;0
799;Fraldinha (capa de filé);Assado(a);199;36.12;5;0;0
800;Fraldinha (capa de filé);Frito(a);221.66;36.12;7.56;0;0
801;Aba de filé ;Cru(a);242;24.22;15.42;0;0
802;Aba de filé ;Grelhado(a)/brasa/churrasco;242;24.22;15.42;0;0
803;Aba de filé ;Frito(a);264.66;24.22;17.98;0;0
804;Costela bovina;Cozido(a);365;22.6;29.79;0;0
805;Costela bovina;Assado(a);365;22.6;29.79;0;0
806;Costela bovina;Refogado(a);365;22.6;29.79;0;0
807;Costela bovina;Ensopado;365;22.6;29.79;0;0
808;Jacaré (carne bovina de segunda c/ osso);Cozido(a);365;22.6;29.79;0;0
809;Jacaré (carne bovina de segunda c/ osso);Assado(a);365;22.6;29.79;0;0
810;Jacaré (carne bovina de segunda c/ osso);Frito(a);365;22.6;29.79;0;0
811;Filé de segunda;Grelhado(a)/brasa/churrasco;242;24.22;15.42;0;0
812;Filé de segunda;Assado(a);242;24.22;15.42;0;0
813;Filé de segunda;Frito(a);264.66;24.22;17.98;0;0
814;Filé de segunda;Empanado(a)/à milanesa;280.84;24.68;18.03;3.39;0.14
815;Filé de segunda;Ao alho e óleo;264.66;24.22;17.98;0;0
816;Víscera bovina ;Cozido(a);191;29.08;5.26;5.13;0
817;Víscera bovina ;Frito(a);213.66;29.08;7.82;5.13;0
818;Panelada (vísceras bovinas não especificadas);Cozido(a);100.04;13.98;2.96;4.18;0.62
819;Panelada (vísceras bovinas não especificadas);Ensopado;100.04;13.98;2.96;4.18;0.62
820;Coração bovino;Cozido(a);165;28.48;4.73;0.15;0
821;Coração bovino;Grelhado(a)/brasa/churrasco;165;28.48;4.73;0.15;0
822;Coração bovino;Assado(a);165;28.48;4.73;0.15;0
823;Coração bovino;Frito(a);187.66;28.48;7.29;0.15;0
824;Rim de boi ;Cozido(a);158;27.27;4.65;0;0
825;Bofe bovino;Assado(a);158;27.27;4.65;0;0
826;Bofe bovino;Frito(a);180.66;27.27;7.21;0;0
827;Bofe bovino;Refogado(a);180.66;27.27;7.21;0;0
828;Miolo de boi;Cozido(a);151;11.67;10.53;1.48;0
829;Tripa bovina;Cozido(a);94;11.71;4.05;1.99;0
830;Tripa bovina;Grelhado(a)/brasa/churrasco;94;11.71;4.05;1.99;0
831;Tripa bovina;Assado(a);94;11.71;4.05;1.99;0
832;Tripa bovina;Frito(a);116.66;11.71;6.61;1.99;0
833;Dobradinha fresca;Cozido(a);94;11.71;4.05;1.99;0
834;Dobradinha fresca;Assado(a);94;11.71;4.05;1.99;0
835;Dobradinha fresca;Molho vermelho;80;9.63;3.28;2.67;0.3
836;Dobradinha fresca;Ensopado;116.66;11.71;6.61;1.99;0
837;Dobradinha fresca;Não se aplica;94;11.71;4.05;1.99;0
838;Fato bovino;Cozido(a);94;11.71;4.05;1.99;0
839;Fato bovino;Frito(a);116.66;11.71;6.61;1.99;0
840;Fato caprino;Cozido(a);94;11.71;4.05;1.99;0
841;Fígado bovino;Cru(a);191;29.08;5.26;5.13;0
842;Fígado bovino;Cozido(a);191;29.08;5.26;5.13;0
843;Fígado bovino;Grelhado(a)/brasa/churrasco;191;29.08;5.26;5.13;0
844;Fígado bovino;Assado(a);191;29.08;5.26;5.13;0
845;Fígado bovino;Frito(a);213.66;29.08;7.82;5.13;0
846;Fígado bovino;Empanado(a)/à milanesa;229.84;29.54;7.87;8.52;0.14
847;Fígado bovino;Refogado(a);213.66;29.08;7.82;5.13;0
848;Fígado bovino;Molho vermelho;157.6;23.53;4.24;5.18;0.3
849;Fígado bovino;Ao alho e óleo;213.66;29.08;7.82;5.13;0
850;Fígado bovino;Ensopado;213.66;29.08;7.82;5.13;0
851;Cupim;Grelhado(a)/brasa/churrasco;330.1;28.63;23.04;0;0
852;Cupim;Assado(a);330.1;28.63;23.04;0;0
853;Cupim;Frito(a);363.08;26.91;27.63;0;0
854;Língua bovina;Cozido(a);284;19.29;22.3;0;0
855;Língua bovina;Grelhado(a)/brasa/churrasco;284;19.29;22.3;0;0
856;Língua bovina;Assado(a);284;19.29;22.3;0;0
857;Língua bovina;Frito(a);306.66;19.29;24.86;0;0
858;Língua bovina;Molho vermelho;232;15.7;17.88;1.08;0.3
859;Língua bovina;Ensopado;306.66;19.29;24.86;0;0
860;Rabada de boi;Não se aplica;365;22.6;29.79;0;0
861;Mocotó bovino;Cozido(a);214;28.81;10.13;0;0
862;Mocotó bovino;Ensopado;214;28.81;10.13;0;0
863;Mocotó bovino;Sopa;63.94;3.81;1.81;7.73;0.39
864;Mocotó bovino;Não se aplica;214;28.81;10.13;0;0
865;Braço bovino;Frito(a);221.66;36.12;7.56;0;0
866;Mão bovina;Cozido(a);214;28.81;10.13;0;0
867;Carré ;Cozido(a);397;29.06;30.3;0;0
868;Carré ;Grelhado(a)/brasa/churrasco;397;29.06;30.3;0;0
869;Carré ;Assado(a);397;29.06;30.3;0;0
870;Carré ;Frito(a);397;29.06;30.3;0;0
871;Bisteca suína;Cozido(a);397;29.06;30.3;0;0
872;Bisteca suína;Grelhado(a)/brasa/churrasco;397;29.06;30.3;0;0
873;Bisteca suína;Assado(a);397;29.06;30.3;0;0
874;Bisteca suína;Frito(a);397;29.06;30.3;0;0
875;Bisteca suína;Empanado(a)/à milanesa;397;29.06;30.3;0;0
876;Bisteca suína;Refogado(a);397;29.06;30.3;0;0
877;Bisteca suína;Não se aplica;397;29.06;30.3;0;0
878;Pernil suíno;Cozido(a);289;25.34;20.06;0;0
879;Pernil suíno;Assado(a);289;25.34;20.06;0;0
880;Pernil suíno;Frito(a);338.57;25.34;25.67;0;0
881;Pernil suíno;Refogado(a);338.57;25.34;25.67;0;0
882;Quarto suíno;Cozido(a);289;25.34;20.06;0;0
883;Costela suína;Cru(a);397;29.06;30.3;0;0
884;Costela suína;Cozido(a);397;29.06;30.3;0;0
885;Costela suína;Grelhado(a)/brasa/churrasco;397;29.06;30.3;0;0
886;Costela suína;Assado(a);397;29.06;30.3;0;0
887;Costela suína;Frito(a);397;29.06;30.3;0;0
888;Costela suína;Refogado(a);397;29.06;30.3;0;0
889;Costela suína;Molho vermelho;322.4;23.51;24.28;1.08;0.3
890;Costela suína;Ensopado;397;29.06;30.3;0;0
891;Costela suína;Não se aplica;397;29.06;30.3;0;0
892;Lombo suíno;Cozido(a);289;25.34;20.06;0;0
893;Lombo suíno;Grelhado(a)/brasa/churrasco;289;25.34;20.06;0;0
894;Lombo suíno;Assado(a);289;25.34;20.06;0;0
895;Lombo suíno;Frito(a);338.57;25.34;25.67;0;0
896;Toucinho;Não se aplica;541;37.04;41.78;1.43;0
897;Míudo suíno;Cozido(a);165;26.02;4.4;3.76;0
898;Arrasto suíno;Não se aplica;100.04;13.98;2.96;4.18;0.62
899;Sarapatel suíno fresco;Não se aplica;100.04;13.98;2.96;4.18;0.62
900;Carne suína;Cru(a);289;25.34;20.06;0;0
901;Carne suína;Cozido(a);289;25.34;20.06;0;0
902;Carne suína;Grelhado(a)/brasa/churrasco;289;25.34;20.06;0;0
903;Carne suína;Assado(a);289;25.34;20.06;0;0
904;Carne suína;Frito(a);338.57;25.34;25.67;0;0
905;Carne suína;Empanado(a)/à milanesa;338.57;25.34;25.67;0;0
906;Carne suína;Refogado(a);338.57;25.34;25.67;0;0
907;Carne suína;Molho vermelho;236;20.54;16.08;1.08;0.3
908;Carne suína;Ao alho e óleo;338.57;25.34;25.67;0;0
909;Carne suína;Ensopado;338.57;25.34;25.67;0;0
910;Carne suína;Não se aplica;289;25.34;20.06;0;0
911;Carne moída ;Cru(a);214;26.62;11.1;0;0
912;Carne moída;Cozido(a);214;26.62;11.1;0;0
913;Carne moída;Assado(a);214;26.62;11.1;0;0
914;Carne moída;Frito(a);236.66;26.62;13.66;0;0
915;Carne moída;Empanado(a)/à milanesa;236.66;26.62;13.66;0;0
916;Carne moída;Refogado(a);236.66;26.62;13.66;0;0
917;Carne moída;Molho vermelho;176;21.56;8.92;1.08;0.3
918;Carne moída;Molho branco;203.79;22.08;11.37;1.85;0.04
919;Carne moída;Ao alho e óleo;236.66;26.62;13.66;0;0
920;Carne moída;Ensopado;236.66;26.62;13.66;0;0
921;Carne moída;Sopa;63.94;3.81;1.81;7.73;0.39
922;Carne moída;Não se aplica;214;26.62;11.1;0;0
923;Guisado ;Não se aplica;242;24.22;15.42;0;0
924;Tripa suína;Grelhado(a)/brasa/churrasco;233;12.49;20.32;0;0
925;Tripa suína;Frito(a);255.66;12.49;22.88;0;0
926;Figado suíno;Cozido(a);165;26.02;4.4;3.76;0
927;Figado suíno;Assado(a);165;26.02;4.4;3.76;0
928;Figado suíno;Frito(a);187.66;26.02;6.96;3.76;0
929;Língua suína;Cozido(a);271;24.1;18.6;0;0
930;Língua suína;Grelhado(a)/brasa/churrasco;271;24.1;18.6;0;0
931;Língua suína;Assado(a);271;24.1;18.6;0;0
932;Língua suína;Frito(a);293.66;24.1;21.16;0;0
933;Língua suína;Refogado(a);293.66;24.1;21.16;0;0
934;Orelha suína fresca;Cozido(a);214;28.81;10.13;0;0
935;Sarrabulho;Não se aplica;100.04;13.98;2.96;4.18;0.62
936;Mocotó suíno;Cozido(a);214;28.81;10.13;0;0
937;Carne de cabrito ;Cozido(a);143;27.1;3.03;0;0
938;Carne de cabrito ;Grelhado(a)/brasa/churrasco;143;27.1;3.03;0;0
939;Carne de cabrito ;Assado(a);143;27.1;3.03;0;0
940;Carne de bode;Cozido(a);143;27.1;3.03;0;0
941;Carne de bode ;Grelhado(a)/brasa/churrasco;143;27.1;3.03;0;0
942;Carne de bode ;Assado(a);143;27.1;3.03;0;0
943;Carne de bode ;Frito(a);165.66;27.1;5.59;0;0
944;Carne caprina;Cozido(a);143;27.1;3.03;0;0
945;Carne caprina;Assado(a);143;27.1;3.03;0;0
946;Carne caprina;Frito(a);165.66;27.1;5.59;0;0
947;Carne caprina;Ensopado;165.66;27.1;5.59;0;0
948;Carne de caprino;Cru(a);143;27.1;3.03;0;0
949;Carne de caprino;Cozido(a);143;27.1;3.03;0;0
950;Carne de caprino;Frito(a);165.66;27.1;5.59;0;0
951;Carne de carneiro;Cozido(a);204;28.35;9.17;0;0
952;Carne de carneiro;Grelhado(a)/brasa/churrasco;204;28.35;9.17;0;0
953;Carne de carneiro;Assado(a);204;28.35;9.17;0;0
954;Carne de carneiro;Frito(a);253.57;28.35;14.78;0;0
955;Carne de carneiro;Ensopado;253.57;28.35;14.78;0;0
956;Carne de ovelha;Cozido(a);204;28.35;9.17;0;0
957;Carne de ovelha;Grelhado(a)/brasa/churrasco;204;28.35;9.17;0;0
958;Carne de ovelha;Assado(a);204;28.35;9.17;0;0
959;Carne de ovelha;Frito(a);253.57;28.35;14.78;0;0
960;Mocotó de caprino;Cozido(a);214;28.81;10.13;0;0
961;Pernil ;Cozido(a);289;25.34;20.06;0;0
962;Pernil ;Grelhado(a)/brasa/churrasco;289;25.34;20.06;0;0
963;Pernil ;Assado(a);289;25.34;20.06;0;0
964;Pernil ;Frito(a);338.57;25.34;25.67;0;0
965;Lagarto bovino ;Cozido(a);199;36.12;5;0;0
966;Lagarto bovino ;Assado(a);199;36.12;5;0;0
967;Lagarto bovino ;Frito(a);248.57;36.12;10.61;0;0
968;Lagarto bovino ;Refogado(a);248.57;36.12;10.61;0;0
969;Lagarto bovino ;Molho vermelho;164;29.16;4.04;1.08;0.3
970;Alcatra suína;Cozido(a);289;25.34;20.06;0;0
971;Alcatra suína;Assado(a);289;25.34;20.06;0;0
972;Alcatra suína ;Frito(a);338.57;25.34;25.67;0;0
973;Brachola;Não se aplica;204;30.67;9;0;0
974;Bife role cru;Não se aplica;204;30.67;9;0;0
975;Buchada de bode;Não se aplica;125;19.8;4.4;0;3.9
976;Suã suína;Cozido(a);397;29.06;30.3;0;0
977;Suã suína;Frito(a);397;29.06;30.3;0;0
978;Carne de outros animais;Cru(a);242;24.22;15.42;0;0
979;Carne de outros animais;Cozido(a);242;24.22;15.42;0;0
980;Carne de outros animais;Grelhado(a)/brasa/churrasco;242;24.22;15.42;0;0
981;Carne de outros animais;Assado(a);242;24.22;15.42;0;0
982;Carne de outros animais;Frito(a);264.66;24.22;17.98;0;0
983;Carne de outros animais;Refogado(a);264.66;24.22;17.98;0;0
984;Carne de outros animais;Molho vermelho;198.4;19.64;12.37;1.08;0.3
985;Carne de outros animais;Ensopado;264.66;24.22;17.98;0;0
986;Carne de outros animais;Não se aplica;242;24.22;15.42;0;0
987;Carne da paca;Cozido(a);212;34.85;6.96;0;0
988;Carne da paca;Assado(a);212;34.85;6.96;0;0
989;Carne da paca;Frito(a);234.66;34.85;9.52;0;0
990;Carne de jacaré;Cozido(a);92;19.4;1.6;0;0
991;Carne de jacaré;Frito(a);114.66;19.4;4.16;0;0
992;Carne de capivara;Cozido(a);212;34.85;6.96;0;0
993;Carne de capivara;Assado(a);212;34.85;6.96;0;0
994;Carne de capivara;Frito(a);234.66;34.85;9.52;0;0
995;Carne de cotia;Cozido(a);212;34.85;6.96;0;0
996;Carne de cotia;Assado(a);212;34.85;6.96;0;0
997;Carne de jabuti;Cozido(a);117;24.16;1.53;0;0
998;Carne de primeira ;Cozido(a);204;30.67;9;0;0
999;Carne de primeira ;Grelhado(a)/brasa/churrasco;204;30.67;9;0;0
1000;Carne de primeira ;Assado(a);204;30.67;9;0;0
1001;Carne de primeira ;Frito(a);226.66;30.67;11.56;0;0
1002;Carne de primeira ;Empanado(a)/à milanesa;242.84;31.13;11.61;3.39;0.14
1003;Carne de primeira ;Refogado(a);226.66;30.67;11.56;0;0
1004;Carne de primeira ;Molho vermelho;168;24.8;7.24;1.08;0.3
1005;Carne de primeira ;Molho branco;195.79;25.32;9.69;1.85;0.04
1006;Carne de primeira ;Com manteiga/óleo;223.14;30.69;11.17;0;0
1007;Chuleta;Cozido(a);204;30.67;9;0;0
1008;Chuleta;Grelhado(a)/brasa/churrasco;204;30.67;9;0;0
1009;Chuleta;Assado(a);204;30.67;9;0;0
1010;Chuleta;Frito(a);226.66;30.67;11.56;0;0
1011;Filé não especificado;Cru(a);204;30.67;9;0;0
1012;Filé não especificado;Cozido(a);204;30.67;9;0;0
1013;Filé não especificado;Grelhado(a)/brasa/churrasco;204;30.67;9;0;0
1014;Filé não especificado;Assado(a);204;30.67;9;0;0
1015;Filé não especificado;Frito(a);226.66;30.67;11.56;0;0
1016;Filé não especificado;Empanado(a)/à milanesa;242.84;31.13;11.61;3.39;0.14
1017;Filé não especificado;Refogado(a);226.66;30.67;11.56;0;0
1018;Filé não especificado;Molho vermelho;168;24.8;7.24;1.08;0.3
1019;Filé não especificado;Com manteiga/óleo;223.14;30.69;11.17;0;0
1020;Filé não especificado;Ensopado;226.66;30.67;11.56;0;0
1021;Filé não especificado;Não se aplica;204;30.67;9;0;0
1022;Miúdo de bode ;Cozido(a);191;29.08;5.26;5.13;0
1023;Pé suíno fresco;Cozido(a);214;28.81;10.13;0;0
1024;Pé suíno fresco;Grelhado(a)/brasa/churrasco;214;28.81;10.13;0;0
1025;Pé suíno fresco;Frito(a);236.66;28.81;12.69;0;0
1026;Carne bovina ;Cru(a);242;24.22;15.42;0;0
1027;Carne bovina ;Cozido(a);242;24.22;15.42;0;0
1028;Carne bovina;Grelhado(a)/brasa/churrasco;242;24.22;15.42;0;0
1029;Carne bovina;Assado(a);242;24.22;15.42;0;0
1030;Carne bovina;Frito(a);264.66;24.22;17.98;0;0
1031;Carne bovina;Empanado(a)/à milanesa;280.84;24.68;18.03;3.39;0.14
1032;Carne bovina ;Refogado(a);264.66;24.22;17.98;0;0
1033;Carne bovina ;Molho vermelho;198.4;19.64;12.37;1.08;0.3
1034;Carne bovina ;Molho branco;226.19;20.16;14.83;1.85;0.04
1035;Carne bovina ;Ao alho e óleo;261.14;24.24;17.59;0;0
1036;Carne bovina;Com manteiga/óleo;261.14;24.24;17.59;0;0
1037;Carne bovina ;Ao vinagrete;242;24.22;15.42;0;0
1038;Carne bovina;Ensopado;264.66;24.22;17.98;0;0
1039;Carne bovina ;Sopa;63.94;3.81;1.81;7.73;0.39
1040;Carne bovina ;Não se aplica;242;24.22;15.42;0;0
1041;Lombo não especificado;Cru(a);289;25.34;20.06;0;0
1042;Lombo não especificado;Cozido(a);289;25.34;20.06;0;0
1043;Lombo não especificado;Assado(a);289;25.34;20.06;0;0
1044;Lombo não especificado;Frito(a);338.57;25.34;25.67;0;0
1045;Lombo não especificado;Molho branco;289;25.34;20.06;0;0
1046;Músculo não especificado;Cozido(a);199;36.12;5;0;0
1047;Músculo não especificado;Ensopado;221.66;36.12;7.56;0;0
1048;Ossada não especificada;Cozido(a);164;26.13;5.81;0;0
1049;Ossada não especificada;Refogado(a);186.66;26.13;8.37;0;0
1050;Ossada não especificada;Sopa;164;26.13;5.81;0;0
1051;Ossada não especificada;Não se aplica;164;26.13;5.81;0;0
1052;Carne de segunda ;Cru(a);242;24.22;15.42;0;0
1053;Carne de segunda ;Cozido(a);242;24.22;15.42;0;0
1054;Carne de segunda ;Grelhado(a)/brasa/churrasco;242;24.22;15.42;0;0
1055;Carne de segunda ;Assado(a);242;24.22;15.42;0;0
1056;Carne de segunda ;Frito(a);264.66;24.22;17.98;0;0
1057;Carne de segunda ;Empanado(a)/à milanesa;280.84;24.68;18.03;3.39;0.14
1058;Carne de segunda ;Refogado(a);264.66;24.22;17.98;0;0
1059;Carne de segunda ;Molho vermelho;198.4;19.64;12.37;1.08;0.3
1060;Carne de segunda ;Ao alho e óleo;261.14;24.24;17.59;0;0
1061;Carne de segunda ;Ensopado;264.66;24.22;17.98;0;0
1062;Contrafilé orgânico;Assado(a);204;30.67;9;0;0
1063;Bisteca orgânica;Assado(a);471;21.57;41.98;0;0
1064;Bisteca orgânica;Frito(a);471;21.57;41.98;0;0
1065;Cabeça de lombo (carne bovina) orgânica;Cru(a);199;36.12;5;0;0
1066;Cabeça de lombo (carne bovina) orgânica;Assado(a);199;36.12;5;0;0
1067;Cabeça de lombo (carne bovina) orgânica;Frito(a);248.57;36.12;10.61;0;0
1068;Tatu (lagarto redondo) orgânico;Assado(a);199;36.12;5;0;0
1069;Peixe de mar (inteiro. em posta. em filé. etc.)  ;Cru(a);117;24.16;1.53;0;0
1070;Peixe de mar (inteiro. em posta. em filé. etc.)  ;Cozido(a);117;24.16;1.53;0;0
1071;Peixe de mar (inteiro. em posta. em filé. etc.)  ;Grelhado(a)/brasa/churrasco;117;24.16;1.53;0;0
1072;Peixe de mar (inteiro. em posta. em filé. etc.)  ;Assado(a);117;24.16;1.53;0;0
1073;Peixe de mar (inteiro. em posta. em filé. etc.)  ;Frito(a);139.66;24.16;4.09;0;0
1074;Peixe de mar (inteiro. em posta. em filé. etc.)  ;Empanado(a)/à milanesa;155.84;24.62;4.14;3.39;0.14
1075;Peixe de mar (inteiro. em posta. em filé. etc.)  ;Molho vermelho;98.4;19.59;1.26;1.08;0.3
1076;Peixe de mar (inteiro. em posta. em filé. etc.)  ;Molho branco;140.05;20.81;5.11;1.47;0.07
1077;Peixe de mar (inteiro. em posta. em filé. etc.)  ;Ensopado;139.66;24.16;4.09;0;0
1078;Peixe de mar salgado (inteiro. em posta. em filé. etc.) ;Cozido(a);117;24.16;1.53;0;0
1079;Peixe de mar salgado (inteiro. em posta. em filé. etc.) ;Grelhado(a)/brasa/churrasco;117;24.16;1.53;0;0
1080;Peixe de mar salgado (inteiro. em posta. em filé. etc.) ;Assado(a);117;24.16;1.53;0;0
1081;Peixe de mar salgado (inteiro. em posta. em filé. etc.) ;Frito(a);139.66;24.16;4.09;0;0
1082;Peixe de mar salgado (inteiro. em posta. em filé. etc.) ;Empanado(a)/à milanesa;155.84;24.62;4.14;3.39;0.14
1083;Peixe de mar salgado (inteiro. em posta. em filé. etc.) ;Molho branco;140.05;20.81;5.11;1.47;0.07
1084;Peixe de mar salgado (inteiro. em posta. em filé. etc.) ;Ensopado;139.66;24.16;4.09;0;0
1085;Camarão;Cru(a);99;20.91;1.08;0;0
1086;Camarão ;Cozido(a);99;20.91;1.08;0;0
1087;Camarão;Grelhado(a)/brasa/churrasco;99;20.91;1.08;0;0
1088;Camarão;Assado(a);99;20.91;1.08;0;0
1089;Camarão;Frito(a);121.66;20.91;3.64;0;0
1090;Camarão;Empanado(a)/à milanesa;137.84;21.37;3.69;3.39;0.14
1091;Camarão;Refogado(a);121.66;20.91;3.64;0;0
1092;Camarão;Molho vermelho;84;16.99;0.9;1.08;0.3
1093;Camarão;Molho branco;125.65;18.21;4.75;1.47;0.07
1094;Camarão;Ao alho e óleo;121.66;20.91;3.64;0;0
1095;Camarão;Ensopado;121.66;20.91;3.64;0;0
1096;Camarão;Não se aplica;99;20.91;1.08;0;0
1097;Siri;Cozido(a);102;20.2;1.77;0;0
1098;Siri;Empanado(a)/à milanesa;140.84;20.66;4.38;3.39;0.14
1099;Siri;Refogado(a);124.66;20.2;4.33;0;0
1100;Bau (siri);Cozido(a);102;20.2;1.77;0;0
1101;Goiá;Cru(a);102;20.2;1.77;0;0
1102;Caranguejo;Cozido(a);102;20.2;1.77;0;0
1103;Caranguejo;Assado(a);102;20.2;1.77;0;0
1104;Caranguejo;Ao vinagrete;102;20.2;1.77;0;0
1105;Guaiamu;Cozido(a);102;20.2;1.77;0;0
1106;Marisco;Cozido(a);148;25.55;1.95;5.13;0
1107;Marisco;Frito(a);170.66;25.55;4.51;5.13;0
1108;Marisco;Molho vermelho;123.2;20.7;1.6;5.18;0.3
1109;Marisco;Não se aplica;148;25.55;1.95;5.13;0
1110;Ostra;Cozido(a);137;14.1;4.91;7.82;0
1111;Lula;Empanado(a)/à milanesa;143.84;18.32;4.19;6.92;0.14
1112;Sururu;Cozido(a);148;25.55;1.95;5.13;0
1113;Sururu;Ensopado;170.66;25.55;4.51;5.13;0
1114;Bacalhau;Cozido(a);117;24.16;1.53;0;0
1115;Bacalhau;Assado(a);117;24.16;1.53;0;0
1116;Bacalhau;Frito(a);139.66;24.16;4.09;0;0
1117;Bacalhau;Empanado(a)/à milanesa;155.84;24.62;4.14;3.39;0.14
1118;Bacalhau;Refogado(a);139.66;24.16;4.09;0;0
1119;Bacalhau;Molho vermelho;98.4;19.59;1.26;1.08;0.3
1120;Bacalhau;Ensopado;139.66;24.16;4.09;0;0
1121;Bacalhau;Não se aplica;117;24.16;1.53;0;0
1122;Ovas de peixe (qualquer espécie);Assado(a);204;28.62;8.23;1.92;0
1123;Ovas de peixe (qualquer espécie);Frito(a);226.66;28.62;10.79;1.92;0
1124;Peixe de água doce (inteiro. em posta. em filé. etc.) ;Cru(a);117;24.16;1.53;0;0
1125;Peixe de água doce (inteiro. em posta. em filé. etc.) ;Cozido(a);117;24.16;1.53;0;0
1126;Peixe de água doce (inteiro. em posta. em filé. etc.) ;Grelhado(a)/brasa/churrasco;117;24.16;1.53;0;0
1127;Peixe de água doce (inteiro. em posta. em filé. etc.) ;Assado(a);117;24.16;1.53;0;0
1128;Peixe de água doce (inteiro. em posta. em filé. etc.) ;Frito(a);139.66;24.16;4.09;0;0
1129;Peixe de água doce (inteiro. em posta. em filé. etc.) ;Empanado(a)/à milanesa;155.84;24.62;4.14;3.39;0.14
1130;Peixe de água doce (inteiro. em posta. em filé. etc.) ;Refogado(a);139.66;24.16;4.09;0;0
1131;Peixe de água doce (inteiro. em posta. em filé. etc.) ;Molho vermelho;98.4;19.59;1.26;1.08;0.3
1132;Peixe de água doce (inteiro. em posta. em filé. etc.) ;Molho branco;126.19;20.11;3.71;1.85;0.04
1133;Peixe de água doce (inteiro. em posta. em filé. etc.) ;Ensopado;139.66;24.16;4.09;0;0
1134;Peixe de água doce (inteiro. em posta. em filé. etc.) ;Não se aplica;117;24.16;1.53;0;0
1135;Peixe de água doce salgado (inteiro. em posta. em filé. etc.) ;Cozido(a);117;24.16;1.53;0;0
1136;Peixe de água doce salgado (inteiro. em posta. em filé. etc.) ;Grelhado(a)/brasa/churrasco;117;24.16;1.53;0;0
1137;Peixe de água doce salgado (inteiro. em posta. em filé. etc.) ;Assado(a);117;24.16;1.53;0;0
1138;Peixe de água doce salgado (inteiro. em posta. em filé. etc.) ;Frito(a);139.66;24.16;4.09;0;0
1139;Peixe de água doce salgado (inteiro. em posta. em filé. etc.) ;Empanado(a)/à milanesa;155.84;24.62;4.14;3.39;0.14
1140;Peixe de água doce salgado (inteiro. em posta. em filé. etc.) ;Molho vermelho;98.4;19.59;1.26;1.08;0.3
1141;Peixe de água doce salgado (inteiro. em posta. em filé. etc.) ;Ensopado;139.66;24.16;4.09;0;0
1142;Tracajá;Cozido(a);117;24.16;1.53;0;0
1143;Peixe não especificado (inteiro. em posta. em filé. etc.);Cru(a);117;24.16;1.53;0;0
1144;Peixe não especificado (inteiro. em posta. em filé. etc.);Cozido(a);117;24.16;1.53;0;0
1145;Peixe não especificado (inteiro. em posta. em filé. etc.);Grelhado(a)/brasa/churrasco;117;24.16;1.53;0;0
1146;Peixe não especificado (inteiro. em posta. em filé. etc.);Assado(a);117;24.16;1.53;0;0
1147;Peixe não especificado (inteiro. em posta. em filé. etc.);Frito(a);139.66;24.16;4.09;0;0
1148;Peixe não especificado (inteiro. em posta. em filé. etc.);Empanado(a)/à milanesa;155.84;24.62;4.14;3.39;0.14
1149;Peixe não especificado (inteiro. em posta. em filé. etc.);Refogado(a);139.66;24.16;4.09;0;0
1150;Peixe não especificado (inteiro. em posta. em filé. etc.);Molho vermelho;98.4;19.59;1.26;1.08;0.3
1151;Peixe não especificado (inteiro. em posta. em filé. etc.);Molho branco;140.05;20.81;5.11;1.47;0.07
1152;Peixe não especificado (inteiro. em posta. em filé. etc.);Ensopado;139.66;24.16;4.09;0;0
1153;Peixe não especificado salgado (inteiro. em posta. em filé. etc.);Cozido(a);117;24.16;1.53;0;0
1154;Peixe não especificado salgado (inteiro. em posta. em filé. etc.);Grelhado(a)/brasa/churrasco;117;24.16;1.53;0;0
1155;Peixe não especificado salgado (inteiro. em posta. em filé. etc.);Assado(a);117;24.16;1.53;0;0
1156;Peixe não especificado salgado (inteiro. em posta. em filé. etc.);Frito(a);139.66;24.16;4.09;0;0
1157;Peixe não especificado salgado (inteiro. em posta. em filé. etc.);Empanado(a)/à milanesa;155.84;24.62;4.14;3.39;0.14
1158;Azeitona;Não se aplica;145;1.03;15.32;3.84;3.3
1159;Ervilha em conserva;Não se aplica;69;4.42;0.35;12.58;4.1
1160;Petitpois;Não se aplica;69;4.42;0.35;12.58;4.1
1161;Milho verde em conserva;Não se aplica;81;2.64;0.93;18.8;1.9
1162;Palmito em conserva;Não se aplica;28;2.52;0.62;4.62;2.4
1163;Cogumelo em conserva;Não se aplica;50.74;1.87;3.2;5.09;2.4
1164;Champignon em conserva;Não se aplica;50.74;1.87;3.2;5.09;2.4
1165;Aspargo em conserva;Não se aplica;19;2.14;0.65;2.46;1.6
1166;Repolho em conserva;Não se aplica;19;0.91;0.14;4.28;2.9
1167;Chucrute;Não se aplica;19;0.91;0.14;4.28;2.9
1168;Legume não especificado em conserva;Não se aplica;47;2.53;0.26;9.06;2.8
1169;Creme de cebola (sopa desidratada);Não se aplica;46.31;0.82;2.47;5.34;0.2
